Zeitstempel,Was ist dein Geschlecht? ,Zu Welcher Altersgruppe gehörst du?,Studierst du aktuell? ,Was ist deine aktuelle Wohnsituation?,Hast du Kinder?,Erwerbsstatus,"Falls du noch Studierst, dein aktueller Studiumstatus",Wohnort,Wie oft reist du pro Jahr? ,Sparst du aktiv für eine Reise?,Was motiviert dich zum Reisen?,Reist du lieber alleine oder in einer Gruppe?,"Was ist ein wichtiges Kriterium für dich, ein Land zu bereisen?",Wie planst du deine Reise?,Welche Art von Unterkunft bevorzugst du auf Reisen?,Welche Art von Transportmittel bevorzugst du auf Reisen?,Welche Art von Aktivitäten unternimmst du am meisten auf Reisen?,Gibt es Orte die du regelmässig auf Reisen wieder besuchst?,"Wie wichtig ist dir, in Kontakt mit Einheimischen zu treten?","Wie wichtig ist es dir, die Sprache des Reiselandes zu sprechen?",Suchst du aktiv nach Kontakt mit Einheimischen?,"Bist du ein digitaler Nomade oder hast du jemals darüber nachgedacht, einer zu werden?",Könntest du dir vorstellen in Zukunft ein digitaler Nomade zu werden? ,Wie gross ist dein jährliches Reisebudget?
2023-04-30 15:20:56.519,M,18 - 25,Ja,Wohne bei den Eltern,Nein,Arbeitslos,Vollzeit,Ländliche Gegend,einmal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung",alleine,Sicherheit (Die eigene Sicherheit ist gewährleistet),Ich plane und buche alles selbst,Mittelklassehotels (3-4 Sterne),"Fähre oder Kreuzfahrtschiffe, Fahrrad","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting)",Ja,2,3,"Ja, ich suche aktiv den Kontakt",Nein,3,2000-5000 CHF
2023-04-30 15:23:57.719,M,30 +,Ja,wg + freundin,Nein,Arbeitslos,Vollzeit,Vorort,1,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Familie / Freunde besuchen, Flucht / Abstand",Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Ernährung vielfälltig (ich mag kein Fisch o. ähnliches",Ich plane und buche alles selbst,"camping, Hotel 3","Flugzeug, Auto, Zug, Fähre oder Kreuzfahrtschiffe, Trekking","Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,4,2,Nur wenn es sich ergibt,"Freundin kann nicht mitreisen, sonst würde ich das vielleicht machen",4,Ich reise nicht
2023-05-04 11:16:22.674,M,18 - 25,Ja,Wohne bei den Eltern,Nein,Arbeitslos,Vollzeit,Ländliche Gegend,Einmal,Nein,"Neugier / Entdeckungslust, Essen",alleine,"Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet)",Ich plane und buche alles selbst,AirBnb,Flugzeug,"Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse)",Nein,4,1,3,Ja,5,500-2000 CHF
2023-05-04 14:27:17.643,M,26 - 35,Ja,WG,Nein,Teilzeit,Berufsbegleitend,Stadt,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Arbeit / Karriere, Familie / Freunde besuchen",Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Event (Karneval in Rio, New York City Marathon, etc.)",Ich plane und buche alles selbst,"Hotel (1-2 Sterne), Hostels, Ferienwohnung oder Häuser, AirBnb, Camping oder Wohnmobil, Jugendherberge","Flugzeug, Auto, Zug","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,2,3,2,Nein,4,500-2000 CHF
2023-05-08 19:04:28.304,M,18 - 25,Ja,Wohne bei den Eltern,Nein,Arbeitslos,Vollzeit,Vorort,Einmal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Flucht / Abstand",alleine,"Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet), ",Ich plane und buche alles selbst,"Luxushotel / Resort (5 Sterne), Mittelklassehotels (3-4 Sterne), Hostels, Ferienwohnung oder Häuser, AirBnb","Flugzeug, Zug","Entspannung am Strand oder Pool, Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,3,2,2,Nein,2,500-2000 CHF
2023-05-08 19:04:33.602,W,26 - 35,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Vollzeit,Ländliche Gegend,Drei bis Viermal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung",Partner/Partnerin,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Event (Karneval in Rio, New York City Marathon, etc.)",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Ferienwohnung oder Häuser","Flugzeug, Auto, Zug","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,1,3,Nein,2,2000-5000 CHF
2023-05-08 19:05:42.890,W,36 +,Nein,mit meinem Sohn ,Ja,Teilzeit,Studiere nicht,Stadt,Zweimal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Familie / Freunde besuchen, Flucht / Abstand",Partner/Partnerin,"Event (Karneval in Rio, New York City Marathon, etc.), Auszeit",Ich plane und buche alles selbst,"Hotel (1-2 Sterne), Hostels, Ferienwohnung oder Häuser, AirBnb, Jugendherberge","Flugzeug, Auto, Zug","Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,5,5,4,Nein,1,0-500 CHF
2023-05-08 19:17:25.878,M,36 +,Nein,Mit der jetzigen Familie/Partner,Nein,Vollzeit,Studiere nicht,Stadt,Fünf- oder mehr,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Bildung / Persönliche Entwicklung, Arbeit / Karriere, Naturerlebnisse",Partner/Partnerin,"Ernährung (Vegetarische oder Vegane Ernährung stets möglich), Sicherheit (Die eigene Sicherheit ist gewährleistet), Jahreszeit (bsp. Reise nach Australien im Winter), Event (Karneval in Rio, New York City Marathon, etc.), Wasserqualität (Schnorcheln)",Ich plane und buche alles selbst,"Luxushotel / Resort (5 Sterne), Ferienwohnung oder Häuser, AirBnb","Flugzeug, Auto","Besichtigung von Sehenswürdigkeiten, Entspannung am Strand oder Pool, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,4,3,3,Ja,5,10000 + CHF
2023-05-08 19:33:47.107,W,36 +,Ja,Einzeln,Nein,Teilzeit,Teilzeit,Stadt,Zweimal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung, Familie / Freunde besuchen",alleine,"Sicherheit (Die eigene Sicherheit ist gewährleistet), Natur des Landes",Ich plane und buche alles selbst,"Hotel (1-2 Sterne), Hostels, Ferienwohnung oder Häuser, AirBnb, Jugendherberge","Zug, Bus","Besichtigung von Sehenswürdigkeiten, Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.), Escape Rooms (wenn ich mit dem Partner reise)",Nein,3,2,2,Nein,3,2000-5000 CHF
2023-05-08 19:47:49.899,M,18 - 25,Ja,Mit der jetzigen Familie/Partner,Nein,Teilzeit,Teilzeit,Ländliche Gegend,Drei bis Viermal,Ja,"Neugier / Entdeckungslust, Abenteuerlust, Entspannung",Partner/Partnerin,Sicherheit (Die eigene Sicherheit ist gewährleistet),Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Hostels, Jugendherberge","Flugzeug, Auto","Abenteuersportarten (z.B. Wandern, Klettern, Rafting), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Nein,4,3,3,Nein,4,500-2000 CHF
2023-05-08 20:27:26.208,W,36 +,Nein,Mit der jetzigen Familie/Partner,Ja,Teilzeit,Studiere nicht,Stadt,Drei bis Viermal,Nein,"Neugier / Entdeckungslust, Abenteuerlust, Bildung / Persönliche Entwicklung, andere Lebensweisen und Kulturen kennen lernen",Familie,"Orte, Kulturen, Landschaften, die ich noch nicht kenne",Ich plane und buche alles selbst,"Mittelklassehotels (3-4 Sterne), Hostels, Ferienwohnung oder Häuser","Zug, Bus","Besichtigung von Sehenswürdigkeiten, Kulturelle Aktivitäten (z.B. Museen, Theater, Konzerte), Kulinarische Erfahrungen (z.B. lokale Spezialitäten probieren, Kochkurse), Naturphänomene ( z.B. Wasserfälle, Meer, Berge etc.)",Ja,3,3,3,Nein,2,5000-10000 CHF
